sale_id,sale_date,region,channel,category,product,customer_segment,units,unit_price,unit_cost
S000074,2024-02-15,West,Retail,Peripherals,Mouse,Enterprise,1,30.0,14.0
S000075,2024-02-20,North,Online,Accessories,Case,Consumer,2,18.0,6.0
S000076,2024-02-03,North,Online,Accessories,Case,SMB,5,18.0,6.0
S000077,2024-02-25,East,Retail,Electronics,Tablet,Consumer,7,450.0,300.0
S000078,2024-02-18,East,Online,Peripherals,Monitor,SMB,8,220.0,150.0
S000079,2024-02-02,West,Online,Audio,Speaker,SMB,3,75.0,40.0
S000080,2024-02-01,East,Online,Audio,Earbuds,Enterprise,2,130.0,70.0
S000081,2024-02-28,East,Online,Accessories,Charger,SMB,2,25.0,9.0
S000082,2024-02-01,East,Partner,Accessories,Cable,Consumer,7,12.0,4.0
S000083,2024-02-02,North,Online,Peripherals,Monitor,SMB,4,220.0,150.0
S000084,2024-02-02,East,Partner,Electronics,Tablet,SMB,4,450.0,300.0
S000085,2024-02-17,West,Partner,Accessories,Charger,Enterprise,5,25.0,9.0
S000086,2024-02-06,North,Retail,Accessories,Case,Consumer,6,18.0,6.0
S000087,2024-02-01,West,Online,Electronics,Laptop,SMB,4,1200.0,850.0
S000088,2024-02-04,West,Partner,Audio,Earbuds,SMB,7,130.0,70.0
S000089,2024-02-17,South,Retail,Accessories,Case,Consumer,4,18.0,6.0
S000090,2024-02-27,West,Retail,Audio,Speaker,Consumer,3,75.0,40.0
S000091,2024-02-27,North,Partner,Electronics,Tablet,Enterprise,1,450.0,300.0
S000092,2024-02-29,South,Online,Accessories,Case,Consumer,7,18.0,6.0
S000093,2024-02-22,South,Partner,Peripherals,Keyboard,SMB,5,60.0,32.0
S000094,2024-02-02,South,Retail,Peripherals,Mouse,SMB,3,30.0,14.0
S000095,2024-02-01,East,Partner,Accessories,Case,SMB,6,18.0,6.0
S000096,2024-02-08,South,Retail,Electronics,Laptop,Consumer,5,1200.0,850.0
S000097,2024-02-01,North,Retail,Accessories,Cable,SMB,7,12.0,4.0
S000098,2024-02-17,South,Partner,Audio,Earbuds,Consumer,4,130.0,70.0
S000099,2024-02-03,South,Retail,Accessories,Case,Enterprise,2,18.0,6.0
S000100,2024-02-02,East,Retail,Peripherals,Keyboard,Enterprise,1,60.0,32.0
S000101,2024-02-08,West,Retail,Electronics,Phone,Enterprise,3,800.0,560.0
S000102,2024-02-16,South,Online,Electronics,Tablet,Enterprise,5,450.0,300.0
S000103,2024-02-29,South,Partner,Peripherals,Monitor,Enterprise,7,220.0,150.0
S000104,2024-02-19,North,Online,Electronics,Laptop,Consumer,4,1200.0,850.0
S000105,2024-02-05,North,Retail,Audio,Earbuds,SMB,6,130.0,70.0
S000106,2024-02-18,South,Retail,Electronics,Laptop,SMB,1,1200.0,850.0
S000107,2024-02-01,North,Partner,Peripherals,Mouse,Enterprise,2,30.0,14.0
S000108,2024-02-03,East,Online,Audio,Speaker,SMB,8,75.0,40.0
S000109,2024-02-08,South,Partner,Audio,Speaker,Enterprise,4,75.0,40.0
S000110,2024-02-15,North,Retail,Peripherals,Mouse,Enterprise,7,30.0,14.0
S000111,2024-02-10,North,Partner,Electronics,Laptop,Consumer,4,1200.0,850.0
S000112,2024-02-11,South,Online,Accessories,Case,SMB,5,18.0,6.0
S000113,2024-02-02,North,Partner,Peripherals,Mouse,Consumer,5,30.0,14.0
S000114,2024-02-22,East,Retail,Peripherals,Mouse,SMB,5,30.0,14.0
S000115,2024-02-15,East,Online,Electronics,Phone,SMB,4,800.0,560.0
S000116,2024-02-01,North,Partner,Accessories,Case,SMB,8,18.0,6.0
S000117,2024-02-09,South,Online,Peripherals,Keyboard,Enterprise,4,60.0,32.0
S000118,2024-02-03,East,Online,Electronics,Tablet,Enterprise,5,450.0,300.0
S000119,2024-02-27,North,Partner,Audio,Earbuds,SMB,5,130.0,70.0
S000120,2024-02-08,West,Online,Peripherals,Mouse,Consumer,8,30.0,14.0
S000121,2024-02-01,West,Retail,Peripherals,Mouse,Enterprise,8,30.0,14.0
S000122,2024-02-05,West,Retail,Peripherals,Keyboard,Consumer,6,60.0,32.0
S000123,2024-02-27,East,Retail,Accessories,Cable,SMB,1,12.0,4.0
S000124,2024-02-04,East,Retail,Accessories,Charger,SMB,1,25.0,9.0
S000125,2024-02-03,North,Retail,Peripherals,Keyboard,SMB,7,60.0,32.0
S000126,2024-02-25,East,Online,Accessories,Case,Consumer,1,18.0,6.0
S000127,2024-02-27,South,Online,Audio,Earbuds,SMB,5,130.0,70.0
S000128,2024-02-14,South,Retail,Peripherals,Monitor,SMB,6,220.0,150.0
S000129,2024-02-29,South,Partner,Electronics,Laptop,Consumer,7,1200.0,850.0
S000130,2024-02-02,West,Partner,Audio,Speaker,Consumer,7,75.0,40.0
S000131,2024-02-21,North,Partner,Accessories,Case,Consumer,8,18.0,6.0
S000132,2024-02-06,East,Retail,Peripherals,Mouse,SMB,7,30.0,14.0
S000133,2024-02-09,West,Partner,Audio,Speaker,Consumer,5,75.0,40.0
S000134,2024-02-10,North,Online,Peripherals,Mouse,Enterprise,7,30.0,14.0
S000135,2024-02-06,West,Partner,Electronics,Phone,Consumer,4,800.0,560.0
S000136,2024-02-15,West,Online,Accessories,Cable,Enterprise,8,12.0,4.0
S000137,2024-02-07,South,Retail,Accessories,Charger,Enterprise,2,25.0,9.0
S000138,2024-02-03,East,Retail,Accessories,Cable,Enterprise,4,12.0,4.0
S000139,2024-02-07,West,Retail,Electronics,Laptop,Enterprise,7,1200.0,850.0
S000140,2024-02-17,East,Retail,Accessories,Charger,Consumer,7,25.0,9.0
S000141,2024-02-16,South,Partner,Accessories,Case,Enterprise,6,18.0,6.0
S000142,2024-03-17,North,Retail,Audio,Earbuds,Consumer,4,130.0,70.0
S000143,2024-03-13,West,Retail,Peripherals,Keyboard,Consumer,8,60.0,32.0
S000144,2024-03-05,West,Partner,Electronics,Laptop,SMB,7,1200.0,850.0
S000145,2024-03-01,West,Retail,Electronics,Phone,Consumer,7,800.0,560.0
S000146,2024-03-26,South,Online,Electronics,Phone,Enterprise,4,800.0,560.0
S000147,2024-03-22,North,Partner,Electronics,Phone,Consumer,8,800.0,560.0
S000148,2024-03-01,North,Partner,Electronics,Tablet,Enterprise,4,450.0,300.0
S000149,2024-03-10,West,Partner,Electronics,Tablet,Consumer,5,450.0,300.0
S000150,2024-03-04,South,Retail,Electronics,Phone,SMB,5,800.0,560.0
S000151,2024-03-08,North,Partner,Audio,Headphones,SMB,1,90.0,48.0
S000152,2024-03-15,South,Retail,Accessories,Case,Enterprise,6,18.0,6.0
S000153,2024-03-08,North,Retail,Peripherals,Monitor,Enterprise,4,220.0,150.0
S000154,2024-03-21,North,Online,Accessories,Case,SMB,1,18.0,6.0
S000155,2024-03-29,North,Retail,Audio,Earbuds,Consumer,7,130.0,70.0
S000156,2024-03-22,South,Retail,Peripherals,Keyboard,Consumer,6,60.0,32.0
S000157,2024-03-23,East,Partner,Accessories,Cable,SMB,7,12.0,4.0
S000158,2024-03-07,North,Online,Electronics,Laptop,SMB,5,1200.0,850.0
S000159,2024-03-07,South,Retail,Accessories,Case,Consumer,4,18.0,6.0
S000160,2024-03-09,West,Partner,Accessories,Case,Consumer,2,18.0,6.0
S000161,2024-03-29,West,Partner,Accessories,Charger,Consumer,8,25.0,9.0
S000162,2024-03-31,West,Online,Audio,Headphones,Consumer,3,90.0,48.0
S000163,2024-03-01,West,Online,Audio,Headphones,Enterprise,3,90.0,48.0
S000164,2024-03-02,West,Partner,Electronics,Tablet,SMB,7,450.0,300.0
S000165,2024-03-24,South,Retail,Electronics,Phone,Consumer,2,800.0,560.0
S000166,2024-03-06,North,Retail,Audio,Earbuds,Enterprise,8,130.0,70.0
S000167,2024-03-24,East,Retail,Peripherals,Keyboard,Consumer,6,60.0,32.0
S000168,2024-03-04,East,Online,Electronics,Laptop,SMB,2,1200.0,850.0
S000169,2024-03-14,West,Retail,Electronics,Phone,SMB,4,800.0,560.0
S000170,2024-03-27,North,Partner,Peripherals,Keyboard,SMB,2,60.0,32.0
S000171,2024-03-07,South,Retail,Accessories,Cable,SMB,8,12.0,4.0
S000172,2024-03-24,West,Online,Peripherals,Mouse,Enterprise,1,30.0,14.0
S000173,2024-03-25,West,Online,Peripherals,Keyboard,SMB,1,60.0,32.0
S000174,2024-03-03,South,Partner,Electronics,Laptop,Consumer,5,1200.0,850.0
S000175,2024-03-29,East,Retail,Audio,Headphones,SMB,6,90.0,48.0
S000176,2024-03-31,East,Partner,Audio,Headphones,Enterprise,1,90.0,48.0
S000177,2024-03-23,East,Online,Accessories,Cable,Enterprise,5,12.0,4.0
S000178,2024-03-25,North,Online,Audio,Headphones,Consumer,2,90.0,48.0
S000179,2024-03-16,West,Retail,Audio,Speaker,SMB,8,75.0,40.0
S000180,2024-03-27,West,Online,Peripherals,Mouse,Consumer,3,30.0,14.0
S000181,2024-03-26,South,Partner,Audio,Speaker,Consumer,5,75.0,40.0
S000182,2024-03-11,East,Partner,Accessories,Cable,Consumer,8,12.0,4.0
S000183,2024-03-17,South,Online,Accessories,Charger,SMB,7,25.0,9.0
S000184,2024-03-03,West,Partner,Audio,Earbuds,Enterprise,1,130.0,70.0
S000185,2024-03-11,North,Online,Electronics,Tablet,SMB,7,450.0,300.0
S000186,2024-03-20,North,Retail,Electronics,Phone,SMB,4,800.0,560.0
S000187,2024-03-23,South,Online,Peripherals,Mouse,SMB,3,30.0,14.0
S000188,2024-03-15,North,Retail,Audio,Headphones,SMB,4,90.0,48.0
S000189,2024-03-09,East,Retail,Audio,Headphones,Enterprise,5,90.0,48.0
S000190,2024-03-09,South,Online,Accessories,Charger,Consumer,8,25.0,9.0
S000191,2024-03-08,South,Retail,Electronics,Tablet,Consumer,5,450.0,300.0
S000192,2024-03-13,South,Partner,Accessories,Case,Consumer,4,18.0,6.0
S000193,2024-03-21,North,Online,Peripherals,Mouse,SMB,1,30.0,14.0
S000194,2024-03-29,East,Online,Accessories,Charger,SMB,8,25.0,9.0
S000195,2024-03-08,South,Partner,Electronics,Phone,Enterprise,1,800.0,560.0
S000196,2024-03-07,South,Retail,Electronics,Phone,Enterprise,6,800.0,560.0
S000197,2024-03-09,North,Partner,Audio,Earbuds,Enterprise,1,130.0,70.0
S000198,2024-03-23,South,Online,Audio,Headphones,SMB,6,90.0,48.0
S000199,2024-03-11,South,Retail,Electronics,Tablet,Consumer,1,450.0,300.0
S000200,2024-03-20,North,Retail,Audio,Speaker,SMB,4,75.0,40.0
S000201,2024-03-22,East,Online,Accessories,Cable,Consumer,3,12.0,4.0
S000202,2024-03-02,North,Retail,Peripherals,Mouse,Consumer,8,30.0,14.0
S000203,2024-03-26,North,Partner,Peripherals,Keyboard,Consumer,3,60.0,32.0
S000204,2024-03-13,West,Retail,Audio,Speaker,Enterprise,5,75.0,40.0
S000205,2024-03-10,East,Partner,Peripherals,Keyboard,Enterprise,1,60.0,32.0
S000206,2024-03-29,West,Online,Accessories,Cable,SMB,7,12.0,4.0
S000207,2024-03-21,West,Online,Accessories,Charger,Consumer,7,25.0,9.0
S000208,2024-03-14,North,Online,Electronics,Tablet,SMB,7,450.0,300.0
S000209,2024-03-19,South,Online,Accessories,Cable,Consumer,8,12.0,4.0
S000210,2024-03-02,West,Online,Peripherals,Monitor,Enterprise,3,220.0,150.0
S000211,2024-03-20,South,Retail,Accessories,Cable,SMB,3,12.0,4.0
S000212,2024-03-06,North,Online,Peripherals,Monitor,SMB,3,220.0,150.0
S000213,2024-03-16,South,Online,Accessories,Charger,SMB,5,25.0,9.0
S000214,2024-04-11,North,Partner,Electronics,Laptop,Enterprise,7,1200.0,850.0
S000215,2024-04-23,West,Partner,Electronics,Tablet,Consumer,4,450.0,300.0
S000216,2024-04-27,South,Online,Peripherals,Mouse,SMB,3,30.0,14.0
S000217,2024-04-17,East,Online,Electronics,Tablet,Consumer,7,450.0,300.0
S000218,2024-04-08,North,Partner,Audio,Speaker,Enterprise,4,75.0,40.0
S000219,2024-04-02,North,Retail,Audio,Earbuds,Enterprise,6,130.0,70.0
S000220,2024-04-15,West,Retail,Peripherals,Monitor,Enterprise,5,220.0,150.0
S000221,2024-04-08,East,Retail,Peripherals,Keyboard,Enterprise,7,60.0,32.0
S000222,2024-04-15,North,Partner,Electronics,Tablet,SMB,1,450.0,300.0
S000223,2024-04-15,West,Online,Accessories,Charger,SMB,8,25.0,9.0
S000224,2024-04-13,South,Retail,Electronics,Phone,SMB,2,800.0,560.0
S000225,2024-04-12,North,Online,Electronics,Phone,Enterprise,8,800.0,560.0
S000226,2024-04-05,North,Online,Electronics,Phone,Enterprise,6,800.0,560.0
S000227,2024-04-29,North,Online,Peripherals,Keyboard,Enterprise,3,60.0,32.0
S000228,2024-04-24,South,Online,Audio,Speaker,SMB,2,75.0,40.0
S000229,2024-04-10,North,Retail,Electronics,Tablet,Enterprise,4,450.0,300.0
S000230,2024-04-25,East,Partner,Accessories,Case,SMB,3,18.0,6.0
S000231,2024-04-29,East,Partner,Peripherals,Mouse,SMB,3,30.0,14.0
S000232,2024-04-07,South,Retail,Audio,Headphones,SMB,5,90.0,48.0
S000233,2024-04-02,West,Online,Accessories,Charger,Enterprise,3,25.0,9.0
S000234,2024-04-30,West,Online,Accessories,Case,SMB,6,18.0,6.0
S000235,2024-04-04,East,Retail,Peripherals,Monitor,Enterprise,1,220.0,150.0
S000236,2024-04-17,East,Partner,Audio,Headphones,Enterprise,2,90.0,48.0
S000237,2024-04-28,East,Retail,Peripherals,Keyboard,SMB,6,60.0,32.0
S000238,2024-04-19,East,Online,Electronics,Tablet,SMB,6,450.0,300.0
S000239,2024-04-08,East,Partner,Electronics,Tablet,SMB,1,450.0,300.0
S000240,2024-04-10,North,Partner,Audio,Earbuds,Consumer,6,130.0,70.0
S000241,2024-04-08,West,Retail,Electronics,Tablet,Enterprise,5,450.0,300.0
S000242,2024-04-12,West,Online,Electronics,Laptop,Enterprise,3,1200.0,850.0
S000243,2024-04-21,North,Online,Electronics,Laptop,Enterprise,1,1200.0,850.0
S000244,2024-04-12,East,Partner,Accessories,Case,Consumer,2,18.0,6.0
S000245,2024-04-14,South,Online,Audio,Headphones,SMB,5,90.0,48.0
S000246,2024-04-20,South,Online,Peripherals,Mouse,Consumer,3,30.0,14.0
S000247,2024-04-23,North,Online,Electronics,Tablet,Enterprise,8,450.0,300.0
S000248,2024-04-05,West,Retail,Audio,Earbuds,Consumer,5,130.0,70.0
S000249,2024-04-02,West,Partner,Audio,Earbuds,Enterprise,6,130.0,70.0
S000250,2024-04-24,South,Online,Peripherals,Mouse,Consumer,4,30.0,14.0
S000251,2024-04-02,West,Online,Peripherals,Monitor,Consumer,1,220.0,150.0
S000252,2024-04-06,North,Partner,Electronics,Laptop,Enterprise,2,1200.0,850.0
S000253,2024-04-22,West,Online,Accessories,Charger,Enterprise,3,25.0,9.0
S000254,2024-04-20,South,Partner,Audio,Earbuds,SMB,7,130.0,70.0
S000255,2024-04-03,West,Partner,Accessories,Case,Enterprise,1,18.0,6.0
S000256,2024-04-01,West,Online,Peripherals,Keyboard,Enterprise,7,60.0,32.0
S000257,2024-04-21,South,Online,Peripherals,Mouse,SMB,3,30.0,14.0
S000258,2024-04-08,North,Retail,Audio,Earbuds,Enterprise,1,130.0,70.0
S000259,2024-04-30,North,Retail,Audio,Speaker,Enterprise,5,75.0,40.0
S000260,2024-04-18,East,Retail,Audio,Earbuds,Enterprise,7,130.0,70.0
S000261,2024-04-30,North,Online,Accessories,Charger,SMB,2,25.0,9.0
S000262,2024-04-29,South,Partner,Accessories,Charger,SMB,4,25.0,9.0
S000263,2024-04-07,South,Retail,Peripherals,Keyboard,Enterprise,6,60.0,32.0
S000264,2024-04-30,West,Partner,Audio,Speaker,Enterprise,8,75.0,40.0
S000265,2024-04-01,South,Partner,Electronics,Laptop,SMB,7,1200.0,850.0
S000266,2024-04-26,North,Partner,Accessories,Charger,Consumer,7,25.0,9.0
S000267,2024-04-05,North,Online,Electronics,Laptop,Enterprise,1,1200.0,850.0
S000268,2024-04-30,South,Partner,Electronics,Tablet,Consumer,6,450.0,300.0
S000269,2024-04-01,North,Partner,Electronics,Laptop,Consumer,3,1200.0,850.0
S000270,2024-04-24,East,Online,Electronics,Laptop,Enterprise,2,1200.0,850.0
S000271,2024-04-29,West,Online,Audio,Earbuds,Consumer,2,130.0,70.0
S000272,2024-04-07,North,Online,Accessories,Charger,Enterprise,2,25.0,9.0
S000273,2024-04-03,West,Online,Audio,Earbuds,Consumer,5,130.0,70.0
S000274,2024-04-04,East,Retail,Audio,Earbuds,SMB,4,130.0,70.0
S000275,2024-04-14,East,Retail,Accessories,Case,SMB,1,18.0,6.0
S000276,2024-04-02,East,Partner,Audio,Speaker,Enterprise,6,75.0,40.0
S000277,2024-04-16,West,Online,Accessories,Case,SMB,1,18.0,6.0
S000278,2024-04-17,West,Partner,Electronics,Phone,Consumer,6,800.0,560.0
S000279,2024-04-18,North,Partner,Audio,Headphones,SMB,4,90.0,48.0
S000280,2024-04-06,South,Retail,Peripherals,Keyboard,Consumer,1,60.0,32.0
S000281,2024-04-01,North,Retail,Accessories,Cable,Enterprise,8,12.0,4.0
S000282,2024-04-26,East,Partner,Electronics,Tablet,SMB,8,450.0,300.0
S000283,2024-04-19,South,Partner,Electronics,Tablet,Consumer,5,450.0,300.0
S000284,2024-04-16,North,Retail,Electronics,Tablet,Enterprise,2,450.0,300.0
S000285,2024-04-18,East,Online,Electronics,Phone,SMB,6,800.0,560.0
S000286,2024-04-30,West,Partner,Peripherals,Keyboard,Consumer,2,60.0,32.0
S000287,2024-05-12,East,Retail,Accessories,Charger,Enterprise,5,25.0,9.0
S000288,2024-05-17,South,Retail,Electronics,Tablet,Consumer,7,450.0,300.0
S000289,2024-05-18,East,Partner,Audio,Headphones,SMB,1,90.0,48.0
S000290,2024-05-17,East,Online,Electronics,Tablet,SMB,8,450.0,300.0
S000291,2024-05-15,South,Online,Audio,Speaker,SMB,5,75.0,40.0
S000292,2024-05-15,South,Retail,Audio,Earbuds,SMB,4,130.0,70.0
S000293,2024-05-25,South,Online,Audio,Speaker,Enterprise,3,75.0,40.0
S000294,2024-05-11,South,Online,Audio,Headphones,SMB,6,90.0,48.0
S000295,2024-05-31,North,Online,Accessories,Charger,Enterprise,5,25.0,9.0
S000296,2024-05-04,South,Online,Accessories,Charger,SMB,7,25.0,9.0
S000297,2024-05-24,East,Online,Accessories,Case,Consumer,7,18.0,6.0
S000298,2024-05-21,South,Retail,Electronics,Phone,SMB,5,800.0,560.0
S000299,2024-05-02,West,Partner,Electronics,Laptop,Consumer,7,1200.0,850.0
S000300,2024-05-17,West,Online,Audio,Earbuds,Consumer,5,130.0,70.0
S000301,2024-05-09,North,Partner,Audio,Headphones,Consumer,7,90.0,48.0
S000302,2024-05-30,South,Partner,Peripherals,Keyboard,Enterprise,7,60.0,32.0
S000303,2024-05-21,South,Partner,Audio,Earbuds,Consumer,4,130.0,70.0
S000304,2024-05-15,East,Partner,Peripherals,Keyboard,Enterprise,6,60.0,32.0
S000305,2024-05-04,West,Partner,Peripherals,Keyboard,Enterprise,4,60.0,32.0
S000306,2024-05-21,West,Retail,Electronics,Tablet,SMB,5,450.0,300.0
S000307,2024-05-01,South,Partner,Audio,Headphones,SMB,7,90.0,48.0
S000308,2024-05-25,West,Online,Electronics,Laptop,Consumer,7,1200.0,850.0
S000309,2024-05-09,South,Partner,Peripherals,Monitor,Consumer,4,220.0,150.0
S000310,2024-05-17,West,Partner,Accessories,Cable,Consumer,2,12.0,4.0
S000311,2024-05-23,East,Partner,Peripherals,Mouse,SMB,1,30.0,14.0
S000312,2024-05-14,South,Partner,Audio,Speaker,Consumer,8,75.0,40.0
S000313,2024-05-13,East,Partner,Peripherals,Monitor,Consumer,2,220.0,150.0
S000314,2024-05-09,West,Online,Accessories,Case,Consumer,7,18.0,6.0
S000315,2024-05-03,East,Partner,Peripherals,Keyboard,SMB,7,60.0,32.0
S000316,2024-05-04,West,Partner,Accessories,Charger,Consumer,5,25.0,9.0
S000317,2024-05-26,South,Online,Peripherals,Keyboard,Consumer,8,60.0,32.0
S000318,2024-05-30,West,Partner,Electronics,Phone,Enterprise,4,800.0,560.0
S000319,2024-05-24,East,Partner,Accessories,Charger,Enterprise,3,25.0,9.0
S000320,2024-05-27,East,Partner,Peripherals,Keyboard,Enterprise,8,60.0,32.0
S000321,2024-05-05,South,Retail,Peripherals,Mouse,Enterprise,6,30.0,14.0
S000322,2024-05-13,West,Partner,Audio,Earbuds,Consumer,5,130.0,70.0
S000323,2024-05-16,East,Online,Electronics,Laptop,Enterprise,5,1200.0,850.0
S000324,2024-05-10,West,Retail,Accessories,Cable,Enterprise,8,12.0,4.0
S000325,2024-05-21,South,Retail,Electronics,Phone,SMB,6,800.0,560.0
S000326,2024-05-02,South,Partner,Electronics,Phone,SMB,6,800.0,560.0
S000327,2024-05-21,North,Online,Audio,Headphones,Consumer,1,90.0,48.0
S000328,2024-05-21,North,Partner,Accessories,Case,Consumer,5,18.0,6.0
S000329,2024-05-28,West,Retail,Accessories,Charger,Consumer,3,25.0,9.0
S000330,2024-05-07,North,Partner,Peripherals,Keyboard,Enterprise,3,60.0,32.0
S000331,2024-05-26,South,Retail,Audio,Earbuds,Enterprise,5,130.0,70.0
S000332,2024-05-07,West,Partner,Peripherals,Monitor,Consumer,2,220.0,150.0
S000333,2024-05-18,West,Online,Electronics,Phone,Consumer,5,800.0,560.0
S000334,2024-05-16,West,Retail,Peripherals,Mouse,Consumer,1,30.0,14.0
S000335,2024-05-23,West,Online,Peripherals,Mouse,Enterprise,4,30.0,14.0
